100	0	0
99.758	0.043	0
99.089	0.205	0
98.084	0.478	0
96.782	0.814	0
95.171	1.178	0
93.244	1.58	0
91.019	2.034	0
88.52	2.543	0
85.776	3.105	0
82.813	3.716	0
79.662	4.37	0
76.352	5.059	0
72.913	5.772	0
69.378	6.496	0
65.776	7.216	0
62.14	7.911	0
58.488	8.55	0
54.828	9.116	0
51.175	9.607	0
47.544	10.007	0
43.941	10.309	0
40.389	10.515	0
36.897	10.618	0
33.473	10.623	0
30.138	10.533	0
26.907	10.349	0
23.795	10.079	0
20.82	9.726	0
17.997	9.295	0
15.344	8.79	0
12.873	8.214	0
10.594	7.574	0
8.522	6.875	0
6.662	6.121	0
5.02	5.327	0
3.605	4.497	0
2.418	3.644	0
1.47	2.787	0
0.761	1.929	0
0.277	1.09	0
0.023	0.31	0
0.026	-0.341	0
0.381	-0.893	0
1.113	-1.425	0
2.158	-1.941	0
3.494	-2.434	0
5.116	-2.893	0
7.018	-3.319	0
9.182	-3.711	0
11.596	-4.064	0
14.245	-4.381	0
17.109	-4.659	0
20.169	-4.897	0
23.403	-5.091	0
26.794	-5.237	0
30.32	-5.334	0
33.959	-5.378	0
37.693	-5.366	0
41.501	-5.301	0
45.362	-5.177	0
49.262	-4.997	0
53.173	-4.765	0
57.084	-4.48	0
60.985	-4.155	0
64.846	-3.809	0
68.64	-3.45	0
72.339	-3.089	0
75.914	-2.733	0
79.336	-2.39	0
82.577	-2.064	0
85.609	-1.759	0
88.405	-1.478	0
90.939	-1.222	0
93.188	-0.987	0
95.129	-0.769	0
96.747	-0.552	0
98.059	-0.327	0
99.076	-0.134	0
99.755	-0.023	0
100	0	0
